League,Owner,Team,Purchase Price,Year acquired,Net Worth,Team Value,Operating Income,Ownership type,Stadium Cost,Year Stadium Built,Taxpayer help,Last renovation,Renovation cost,Did owner pay for stadium construction? ,Did owner pay for renovation? ,Inherit team? 
NHL,Jeffrey Vinik,Tampa Bay Lightning,,,600000000,650000000,-50000000,Single,,,,,,,,
NHL,Tom Stillman,St Louis Blues,,,500000000,640000000,-52000000,Single,,,,,,,,
NHL,Stanley Kroenke,Colorado Avalanche,,,12900000000,630000000,-45000000,Single,,,,,,,,
NHL,Hasso Plattner,San Jose Sharks,,,7700000000,625000000,-51000000,Single,,,,,,,,
NHL,Henry Samueli & Susan Sumueli,Anaheim Ducks,,,7000000000,620000000,-46000000,Couple,,,,,,,,
NHL,Herbert Fritch,Nashville Predators,,,125000000000,600000000,-56000000,Single,,,,,,,,
NHL,True North Sports,Winnipeg Jets,,,5000000000,575000000,-46000000,Corporation,,,,,,,,
NHL,Tom Dundon,Carolina Hurricanes,,,1200000000,550000000,-43000000,Single,,,,,,,,
NHL,Eugene Melnyk,Ottawa Senators,,,1210000000,525000000,-30000000,Single,,,,,,,,
NHL,Terrence Pegula & Tim Pegula,Buffalo Sabres,,,6700000000,500000000,-40000000,Couple,,,,,,,,
NHL,John McConnell,Columbos Blue Jackets,,,1100000000,475000000,-28000000,Single,,,,,,,,
NHL,Vincent Viola,Florida Panthers,,,3500000000,450000000,-43000000,Single,,,,,,,,
NHL,Alex Meruelo,Arizona Coyotes,,,2000000000,400000000,-33000000,Single,,,,,,,,
MLB,Hal Steinbrenner,New York Yankees,,,3800000000,6000000000,-40000000,Single,,,,,,,,
MLB,Guggenheim Baseball Managment ,Los Angeles Dodgers,,,500000000,4075000000,-80000000,Single,,,,,,,,
MLB,John Henry,Boston Red Sox,,,3600000000,3900000000,69000000,Single,,,,,,,,
MLB,Thomas Ricketts,Chicago Cubs,,,450000000,3800000000,68000000,Single,,,,,,,,
MLB,Greg Johnson,San Francisco Giants,,,5800000000,3500000000,32000000,Single,,,,,,,,
MLB,Steve Cohen,New York Mets,,,1590000000,2650000000,-96000000,Single,,,,,,,,
MLB,William DeWitt jr.,St. Louse Cardinals,,,4000000000,2450000000,-34000000,Single,,,,,,,,
MLB,John Middleton,Philadelphia Phillies,,,3400000000,2300000000,-17000000,Single,,,,,,,,
MLB,Arturo Moreno,Los Angeles Angels,,,3600000000,2200000000,-2000000,Single,,,,,,,,
MLB,Liberty Media,Atlanta Braves,,,8000000000,2100000000,83000000,Single,,,,,,,,
MLB,Ray Davis & Bob Simpson,Texas Rangers,,,220000000,2050000000,97000000,Couple,,,,,,,,
MLB,Mark Lerner,Washington Nationals,,,490000000,2000000000,36000000,Single,,,,,,,,
MLB,Rogers Communications,Toronto Blue Jays,,,11500000000,1780000000,-52000000,Corporation,,,,,,,,
MLB,Jim Crane,Houston Astros,,,1400000000,1980000000,29000000,Single,,,,,,,,
MLB,Jerry Reinsdorf,Chicago White Sox,,,1700000000,1760000000,-10000000,Single,,,,,,,,
MLB,John Stanton & Chris Larson,Seattle Mariners,,,110000000,1700000000,71000000,Couple,,,,,,,,
MLB,Ron Fowler & Peter Seidler,San Diego Padres,,,300000000,1570000000,-32000000,Couple,,,,,,,,
MLB,Mike Ilitch,Detroit Tigers,,,3800000000,1400000000,31000000,Single,,,,,,,,
MLB,James Pohlas,Minnesota Twins,,,3800000000,1390000000,10000000,Single,,,,,,,,
MLB,Charles & Richard Monfort,Colorado Rockies,,,700000000,1380000000,14000000,Couple,,,,,,,,
MLB,Ken Kendrick,Arizona Diamondbacks,,,600000000,1380000000,40000000,Single,,,,,,,,
MLB,Peter Angelos,Baltimore Orioles,,,200000000,1370000000,83000000,Single,,,,,,,,
MLB,Robert Nutting,Pittsburgh Pirates,,,110000000,1320000000,64000000,Single,,,,,,,,
MLB,Lawrence Dolan & Paul Dolan ,Clevelan Guardians,,,460000000,1300000000,71000000,Couple,,,,,,,,
MLB,Mark Attenasio,Milwaukee Brewers,,,700000000,1280000000,29000000,Single,,,,,,,,
MLB,Robert Castellini,Cincinnati Reds,,,400000000,1190000000,0,Single,,,,,,,,
MLB,John Fisher,Oakland Athletics,,,2600000000,1180000000,-9000000,Single,,,,,,,,
MLB,John Sherman,Kansas City Royals,,,1200000000,1110000000,47000000,Single,,,,,,,,
MLB,Stuart Sternberg,Tampa Bay Rays,,,800000000,1100000000,45000000,Single,,,,,,,,
MLB,Bruce Sherman,Miami Marlins,,,110000000,990000000,25000000,Single,,,,,,,,
